quarks,B,S,J,status,dE
uddsCC,0.6666666666666666,-1,1.0,Allowed,-96.386406
uddsCC,0.6666666666666666,-1,2.0,Allowed,-96.138213
uddsCC,0.6666666666666666,-1,3.0,Allowed,-95.89001999999999
uddsCB,0.6666666666666666,-1,0.0,Allowed,-93.734599
uddsCB,0.6666666666666666,-1,1.0,Allowed,-93.486406
uddsCB,0.6666666666666666,-1,2.0,Allowed,-93.238213
uddsCB,0.6666666666666666,-1,3.0,Allowed,-92.99002
uddsBB,0.6666666666666666,-1,0.0,Allowed,-90.834599
uddsBB,0.6666666666666666,-1,1.0,Allowed,-90.586406
uddsBB,0.6666666666666666,-1,2.0,Allowed,-90.338213
uddsBB,0.6666666666666666,-1,3.0,Allowed,-90.09002
uddccc,2.0,0,0.0,Allowed,-94.876565
uddccc,2.0,0,1.0,Allowed,-94.628372
uddccc,2.0,0,2.0,Allowed,-94.380179
uddccc,2.0,0,3.0,Allowed,-94.131986
uddccb,2.0,0,0.0,Allowed,-91.976565
uddccb,2.0,0,1.0,Allowed,-91.72837200000001
uddccb,2.0,0,2.0,Allowed,-91.48017899999999
uddccb,2.0,0,3.0,Allowed,-91.231986
uddccU,1.3333333333333333,0,0.0,Allowed,-96.504665
uddccU,1.3333333333333333,0,1.0,Allowed,-96.256472
uddccU,1.3333333333333333,0,2.0,Allowed,-96.008279
uddccU,1.3333333333333333,0,3.0,Allowed,-95.760086
uddccD,1.3333333333333333,0,0.0,Allowed,-96.504665
uddccD,1.3333333333333333,0,1.0,Allowed,-96.256472
uddccD,1.3333333333333333,0,2.0,Allowed,-96.008279
uddccD,1.3333333333333333,0,3.0,Allowed,-95.760086
uddccS,1.3333333333333333,1,0.0,Allowed,-96.392831
uddccS,1.3333333333333333,1,1.0,Allowed,-96.144638
uddccS,1.3333333333333333,1,2.0,Allowed,-95.896445
uddccS,1.3333333333333333,1,3.0,Allowed,-95.648252
uddccC,1.3333333333333333,0,0.0,Allowed,-94.974665
uddccC,1.3333333333333333,0,1.0,Allowed,-94.726472
uddccC,1.3333333333333333,0,2.0,Allowed,-94.478279
uddccC,1.3333333333333333,0,3.0,Allowed,-94.230086
uddccB,1.3333333333333333,0,0.0,Allowed,-92.074665
uddccB,1.3333333333333333,0,1.0,Allowed,-91.826472
uddccB,1.3333333333333333,0,2.0,Allowed,-91.578279
uddccB,1.3333333333333333,0,3.0,Allowed,-91.330086
uddcbb,2.0,0,0.0,Allowed,-89.156565
uddcbb,2.0,0,1.0,Allowed,-88.908372
uddcbb,2.0,0,2.0,Allowed,-88.660179
uddcbb,2.0,0,3.0,Allowed,-88.411986
uddcbU,1.3333333333333333,0,0.0,Allowed,-93.524665
uddcbU,1.3333333333333333,0,1.0,Allowed,-93.276472
uddcbU,1.3333333333333333,0,2.0,Allowed,-93.028279
uddcbU,1.3333333333333333,0,3.0,Allowed,-92.780086
uddcbD,1.3333333333333333,0,0.0,Allowed,-93.524665
uddcbD,1.3333333333333333,0,1.0,Allowed,-93.276472
uddcbD,1.3333333333333333,0,2.0,Allowed,-93.028279
uddcbD,1.3333333333333333,0,3.0,Allowed,-92.780086
uddcbS,1.3333333333333333,1,0.0,Allowed,-93.412831
uddcbS,1.3333333333333333,1,1.0,Allowed,-93.164638
uddcbS,1.3333333333333333,1,2.0,Allowed,-92.916445
uddcbS,1.3333333333333333,1,3.0,Allowed,-92.668252
uddcbC,1.3333333333333333,0,0.0,Allowed,-91.994665
uddcbC,1.3333333333333333,0,1.0,Allowed,-91.746472
uddcbC,1.3333333333333333,0,2.0,Allowed,-91.498279
uddcbC,1.3333333333333333,0,3.0,Allowed,-91.250086
uddcbB,1.3333333333333333,0,0.0,Allowed,-89.094665
uddcbB,1.3333333333333333,0,1.0,Allowed,-88.846472
uddcbB,1.3333333333333333,0,2.0,Allowed,-88.598279
uddcbB,1.3333333333333333,0,3.0,Allowed,-88.350086
uddcUU,0.6666666666666666,0,0.0,Allowed,-97.802765
uddcUU,0.6666666666666666,0,1.0,Allowed,-97.554572
uddcUU,0.6666666666666666,0,2.0,Allowed,-97.30637899999999
uddcUU,0.6666666666666666,0,3.0,Allowed,-97.058186
uddcUD,0.6666666666666666,0,0.0,Allowed,-97.802765
uddcUD,0.6666666666666666,0,1.0,Allowed,-97.554572
uddcUD,0.6666666666666666,0,2.0,Allowed,-97.30637899999999
uddcUD,0.6666666666666666,0,3.0,Allowed,-97.058186
uddcUS,0.6666666666666666,1,0.0,Allowed,-97.690931
uddcUS,0.6666666666666666,1,1.0,Allowed,-97.442738
uddcUS,0.6666666666666666,1,2.0,Allowed,-97.194545
uddcUS,0.6666666666666666,1,3.0,Allowed,-96.946352
